Num Tests, Num Challenges, Num Unsolved, Num Solved, Num Failed,
0, 0, 199, 0, 0,
0, 0, 199, 1, 0,
1, 1, 198, 2, 0,
2, 1, 197, 3, 0,
3, 1, 196, 3, 0,
3, 1, 196, 4, 0,
4, 2, 195, 4, 0,
4, 2, 195, 5, 0,
5, 3, 194, 6, 0,
6, 3, 193, 6, 0,
6, 3, 193, 7, 0,
7, 4, 192, 7, 0,
7, 4, 192, 8, 0,
8, 5, 191, 9, 0,
9, 5, 190, 9, 0,
9, 5, 190, 10, 0,
10, 6, 189, 11, 0,
11, 6, 188, 12, 0,
12, 6, 187, 13, 0,
13, 6, 186, 13, 0,
13, 6, 186, 14, 0,
14, 7, 185, 15, 0,
15, 7, 184, 15, 0,
15, 7, 184, 16, 0,
16, 8, 183, 16, 0,
16, 8, 183, 17, 0,
17, 9, 182, 18, 0,
18, 9, 181, 18, 0,
18, 9, 181, 19, 0,
19, 10, 180, 20, 0,
20, 10, 179, 21, 0,
21, 10, 178, 21, 0,
21, 10, 178, 22, 0,
22, 11, 177, 23, 0,
23, 11, 176, 24, 0,
24, 11, 175, 25, 0,
25, 11, 174, 26, 0,
26, 11, 173, 27, 0,
27, 11, 172, 28, 0,
28, 11, 171, 28, 0,
28, 11, 171, 29, 0,
29, 12, 170, 30, 0,
30, 12, 169, 30, 0,
30, 12, 169, 31, 0,
31, 13, 168, 32, 0,
32, 13, 167, 33, 0,
33, 13, 166, 33, 0,
33, 13, 166, 34, 0,
34, 14, 165, 35, 0,
35, 14, 164, 36, 0,
36, 14, 163, 37, 0,
37, 14, 162, 38, 0,
38, 14, 161, 38, 0,
38, 14, 161, 39, 0,
39, 15, 160, 40, 0,
40, 15, 159, 40, 0,
40, 15, 159, 41, 0,
41, 16, 158, 41, 0,
41, 16, 158, 42, 0,
42, 17, 157, 43, 0,
43, 17, 156, 43, 0,
43, 17, 156, 44, 0,
44, 18, 155, 45, 0,
45, 18, 154, 45, 0,
45, 18, 154, 46, 0,
46, 19, 153, 47, 0,
47, 19, 152, 48, 0,
48, 19, 151, 48, 0,
48, 19, 151, 49, 0,
49, 20, 150, 50, 0,
50, 20, 149, 50, 0,
50, 20, 149, 51, 0,
51, 21, 148, 52, 0,
52, 21, 147, 52, 0,
52, 21, 147, 53, 0,
53, 22, 146, 54, 0,
54, 22, 145, 54, 0,
54, 22, 145, 55, 0,
55, 23, 144, 56, 0,
56, 23, 143, 56, 0,
56, 23, 143, 57, 0,
57, 24, 142, 58, 0,
58, 24, 141, 59, 0,
59, 24, 140, 59, 0,
59, 24, 140, 60, 0,
60, 25, 139, 61, 0,
61, 25, 138, 61, 0,
61, 25, 138, 62, 0,
62, 26, 137, 63, 0,
63, 26, 136, 64, 0,
64, 26, 135, 64, 0,
64, 26, 135, 65, 0,
65, 27, 134, 66, 0,
66, 27, 133, 67, 0,
67, 27, 132, 67, 0,
67, 27, 132, 68, 0,
68, 28, 131, 68, 0,
68, 28, 131, 69, 0,
69, 29, 130, 70, 0,
70, 29, 129, 70, 0,
70, 29, 129, 71, 0,
71, 30, 128, 72, 0,
72, 30, 127, 73, 0,
73, 30, 126, 74, 0,
74, 30, 125, 74, 0,
74, 30, 125, 75, 0,
75, 31, 124, 75, 0,
75, 31, 124, 76, 0,
76, 32, 123, 77, 0,
77, 32, 122, 78, 0,
78, 32, 121, 78, 0,
78, 32, 121, 79, 0,
79, 33, 120, 79, 0,
79, 33, 120, 80, 0,
80, 34, 119, 81, 0,
81, 34, 118, 82, 0,
82, 34, 117, 82, 0,
82, 34, 117, 83, 0,
83, 35, 116, 84, 0,
84, 35, 115, 85, 0,
85, 35, 114, 85, 0,
85, 35, 114, 86, 0,
86, 36, 113, 87, 0,
87, 36, 112, 88, 0,
88, 36, 111, 89, 0,
89, 36, 110, 89, 0,
89, 36, 110, 90, 0,
90, 37, 109, 90, 0,
90, 37, 109, 91, 0,
91, 38, 108, 91, 0,
91, 38, 108, 92, 0,
