Num Tests, Num Challenges, Num Unsolved, Num Solved, Num Failed,
0, 0, 199, 0, 0,
0, 0, 199, 1, 0,
1, 1, 198, 2, 0,
2, 1, 197, 3, 0,
3, 1, 196, 3, 0,
3, 1, 196, 4, 0,
5, 2, 195, 4, 0,
5, 2, 195, 5, 0,
6, 3, 194, 6, 0,
8, 3, 193, 7, 0,
11, 3, 192, 8, 0,
12, 3, 191, 9, 0,
14, 3, 190, 10, 0,
15, 3, 189, 11, 0,
16, 3, 188, 12, 0,
17, 3, 187, 13, 0,
20, 3, 186, 14, 0,
21, 3, 185, 15, 0,
24, 3, 184, 15, 0,
24, 3, 184, 16, 0,
28, 4, 183, 17, 0,
29, 4, 182, 18, 0,
33, 4, 181, 18, 0,
33, 4, 181, 19, 0,
34, 5, 180, 20, 0,
35, 5, 179, 21, 0,
39, 5, 178, 22, 0,
40, 5, 177, 23, 0,
41, 5, 176, 24, 0,
42, 5, 175, 25, 0,
43, 5, 174, 26, 0,
44, 5, 173, 27, 0,
45, 5, 172, 28, 0,
50, 5, 171, 28, 0,
50, 5, 171, 29, 0,
51, 6, 170, 30, 0,
57, 6, 169, 31, 0,
58, 6, 168, 32, 0,
59, 6, 167, 33, 0,
62, 6, 166, 34, 0,
63, 6, 165, 35, 0,
64, 6, 164, 36, 0,
65, 6, 163, 37, 0,
66, 6, 162, 38, 0,
70, 6, 161, 39, 0,
71, 6, 160, 40, 0,
77, 6, 159, 40, 0,
77, 6, 159, 41, 0,
84, 7, 158, 41, 0,
84, 7, 158, 42, 0,
85, 8, 157, 43, 0,
87, 8, 156, 44, 0,
88, 8, 155, 45, 0,
96, 8, 154, 46, 0,
97, 8, 153, 47, 0,
98, 8, 152, 48, 0,
106, 8, 151, 48, 0,
106, 8, 151, 49, 0,
107, 9, 150, 50, 0,
116, 9, 149, 51, 0,
117, 9, 148, 52, 0,
126, 9, 147, 52, 0,
126, 9, 147, 53, 0,
127, 10, 146, 54, 0,
137, 10, 145, 55, 0,
138, 10, 144, 56, 0,
140, 10, 143, 57, 0,
141, 10, 142, 58, 0,
142, 10, 141, 59, 0,
144, 10, 140, 60, 0,
145, 10, 139, 61, 0,
147, 10, 138, 62, 0,
148, 10, 137, 63, 0,
149, 10, 136, 64, 0,
151, 10, 135, 65, 0,
152, 10, 134, 66, 0,
153, 10, 133, 67, 0,
163, 10, 132, 67, 0,
163, 10, 132, 68, 0,
174, 11, 131, 69, 0,
175, 11, 130, 70, 0,
178, 11, 129, 71, 0,
179, 11, 128, 72, 0,
180, 11, 127, 73, 0,
181, 11, 126, 74, 0,
192, 11, 125, 74, 0,
192, 11, 125, 75, 0,
196, 12, 124, 76, 0,
197, 12, 123, 77, 0,
198, 12, 122, 78, 0,
200, 12, 121, 79, 0,
212, 12, 120, 79, 0,
212, 12, 120, 80, 0,
213, 13, 119, 81, 0,
214, 13, 118, 82, 0,
227, 13, 117, 83, 0,
228, 13, 116, 84, 0,
229, 13, 115, 85, 0,
231, 13, 114, 86, 0,
232, 13, 113, 87, 0,
233, 13, 112, 88, 0,
234, 13, 111, 89, 0,
237, 13, 110, 90, 0,
250, 13, 109, 90, 0,
250, 13, 109, 91, 0,
253, 14, 108, 92, 0,
255, 14, 107, 93, 0,
256, 14, 106, 94, 0,
258, 14, 105, 95, 0,
272, 14, 104, 95, 0,
272, 14, 104, 96, 0,
273, 15, 103, 97, 0,
275, 15, 102, 98, 0,
276, 15, 101, 99, 0,
280, 15, 100, 100, 0,
281, 15, 99, 101, 0,
282, 15, 98, 102, 0,
283, 15, 97, 103, 0,
298, 15, 96, 104, 0,
313, 15, 95, 104, 0,
313, 15, 95, 105, 0,
329, 16, 94, 105, 0,
329, 16, 94, 106, 0,
333, 17, 93, 107, 0,
335, 17, 92, 108, 0,
337, 17, 91, 109, 0,
338, 17, 90, 110, 0,
355, 17, 89, 111, 0,
357, 17, 88, 112, 0,
359, 17, 87, 113, 0,
360, 17, 86, 114, 0,
